id	priority	domain	status	hypothesis	control	treatment	locked_variables	objective_measures	subjective_question	pass_rule	evidence
M01	P0	mobile	untested	A lower mobile back-buffer cost preserves story quality while reducing missed refreshes.	DPR cap 2.0, MSAA on	DPR 1.5 then 1.25; separately MSAA off	device, browser, viewport, revision, input trace, warm cache	frame interval percentiles; >1.5x/>2x misses; streak; backing pixels; GL calls/triangles	Are shell edges or typography visibly degraded on the target phone?	Cadence improves without visible loss at normal viewing distance.	W10,W18
M02	P0	mobile	untested	One frame authority reduces redundant scheduling and state-phase mismatch.	Current R3F bridge plus scheduled fallback rAF	Cancel fallback when R3F assumes Lenis; derive all state from one sampled progress	device, trace, quality tier	callback count; frame intervals; progress/pose continuity	Does any beat lag or jump relative to scroll?	No continuity regression and no extra rAF callback after ownership transfer.	W02,W08
M03	P0	mobile	tested-pass	Hybrid active/demand rendering reduces idle work without a resume hitch.	frameloop always	demand while stable; continuous only during scroll/theme/pose activity	device, DPR, MSAA, scene, input trace	idle frame count/power proxy; resume first-frame time; warm cadence	Does the first resumed frame pop or stall?	Idle rendering drops materially; resume stays within one measured refresh interval. RESULT: Demand mode stopped cleanly at idle: idle interval 16.7 ms with zero idle renders. Resume smoothness remains a separate active-scroll question.	W15;outputs/mobile-validation/baseline/report.json
M04	P0	mobile	untested	Physical 120 Hz behavior differs from headless SwiftShader and must be separately validated.	Headless SwiftShader 430x932 trace	Same trace on Samsung S25 or equivalent physical 120 Hz device	revision, viewport CSS size, trace duration	measured refresh interval; p50/p95/p99/max; miss streaks; GL facts	Does motion remain temporally even during explode and jump?	No repeated >2x misses; no pose discontinuities; environment clearly labeled.	W03,W09
M05	P1	mobile	untested	Predecoding the next poster removes decode hitches from active scroll.	Lazy presentation without explicit decode	Fetch and decode next required image outside active scroll; swap on rAF	same image, cache condition, trace	cold decode ms; long frames; frame intervals around swap	Is the swap visually instantaneous and stable?	No frame miss cluster at the swap and no extra eager bytes before need.	W13,W14
M06	P1	mobile	tested-fail	Cold shader/PMREM/upload work currently leaks past ready.	Current rigReady semantics	Prewarm hero/explode/jump materials and report ready after first useful compiled frame	device, revision, cache condition	request-to-ready; first useful frame; first-scroll hitch; programs/textures counts	Does first interaction match later interactions?	First trace has no unique compile/upload hitch over warm baseline. RESULT: compileAsync readiness did not prevent the first visible canvas reveal from taking about 6.85 s, and the stall repeated after resize. Ready must include a presented visible-frame gate.	W10,W16;outputs/mobile-validation/baseline/report.json
M07	P1	mobile	inconclusive	LoAF attribution plus rAF intervals identifies root causes better than FPS alone.	Current frame arrays	Add LoAF/longtask attribution and phase marks	trace, device, revision	blockingDuration; script/style/layout attribution; rAF intervals	N/A	Every >50 ms event has attribution or explicit unsupported status. RESULT: The combined report and Chromium trace separated negligible probe CPU cost from software-GPU raster/presentation stalls and recorded environment/concurrency caveats. RESULT: Qualification: the trace excludes large measured probe CPU and reports compositor DroppedFrame 318, but no >50 ms timeline X event identified the GPU wait. Root-cause attribution remains unresolved. RESULT: A controlled 120 ms rAF busy loop produced a LoAF entry, proving the observer works in this Chromium build. Empty application LoAF entries therefore do not mean the API is unsupported, but they still do not identify the visible software-raster or presentation wait.	W05;outputs/mobile-validation/baseline/chromium-trace.json;outputs/mobile-validation/baseline/chromium-trace.json;outputs/mobile-validation/loaf-probe.json
M08	P2	mobile	tested-fail	KTX2 helps only if texture decode/VRAM is material in the GLB.	Current 1.28 MB GLB	KTX2 version if texture audit justifies it	geometry, material appearance, device	bytes; transcode ms; ready ms; textures/VRAM proxy; warm cadence	Are compression artifacts visible on shells or normals?	Lower transfer/VRAM with no worse cold ready and acceptable visual quality. RESULT: Precondition absent: GLB has 38 meshes, 38 primitives, 107684 triangles, and no embedded materials, images, or extensions. KTX2 does not apply unless baked textures are added later.	W11,W12;outputs/mobile-validation/glb-budget.json
M09	P1	mobile	untested	An extra scroll-to-rAF boundary may add phase latency without reducing event frequency.	Passive scroll updates sampled directly by the existing frame authority	Insert a separate rAF gate before demand invalidation	device, refresh rate, input trace, DPR, scene	target-progress minus rendered-progress; frame intervals; invalidate-to-render delay	Does the rig lag the finger or camera during direction changes?	Do not promote the extra gate unless ordering improves and phase error does not increase.	W22,W08
M10	P0	mobile	inconclusive	The multi-second reveal stall is dominated by SwiftShader software raster rather than application CPU work.	Current SwiftShader baseline	Same build and trace on hardware-accelerated Chrome	viewport, DPR 1.5, revision, cache, input trace	first reveal; reverse p95; qprobe CPU; renderer calls/triangles; GPU identity	Does the visible robot appear promptly and remain coupled to scroll?	If hardware removes the stall while app CPU remains similar, classify the baseline as environment-bound; otherwise continue app diagnosis. RESULT: A post-crash hardware run verified NVIDIA RTX3080Ti WebGL and five visible six-second traces at p95 16.7-16.8ms, worst16.8ms, zero missed intervals and zero long tasks. This removes the earlier multi-second stalls in this environment but host load/restart and prior revisions prevent a strict single-variable causal conclusion. Headless scheduling is60Hz; no S25/120Hz validation.	W23,W10;outputs/mobile-validation/baseline/report.json;outputs/mobile-validation/hardware-baseline/report.json
M11	P0	mobile	untested	compileAsync readiness is insufficient because full-size presentation/compositing remains cold.	Ready after compileAsync	Ready only after a representative full-size frame has rendered and presented; repeat after resize	GPU mode, viewport, DPR, scene, revision	compile end; first submitted frame; first presented frame; reveal delay; post-resize reveal	Is the first visible frame immediate, complete, and artifact-free?	Reveal and post-resize presentation complete within one measured refresh interval after ready.	W24,W10;outputs/mobile-validation/baseline/report.json
M12	P0	mobile	tested-pass	The reveal bottleneck scales with scene raster/draw complexity rather than scroll/state CPU work.	Full robot: 70 draw calls, 198412 triangles at DPR 1.5	Diagnostic render with robot hidden or a trivial proxy while preserving scroll/state scheduling	GPU mode, viewport, DPR, trace, app revision	first reveal; reverse p95; qprobe CPU; render counter	Does removing scene complexity remove the stall without changing state timing?	A large reduction isolates raster/draw cost; no reduction points to compositor/presentation or scheduling. RESULT: Same-build CSS-hidden diagnostic held all five passes at p95 16.7-16.8 ms with zero long tasks and one missed 60 Hz interval total, while visible candidate stayed p95 217-400 ms. This isolates the current software-raster/presentation dependency; hidden output is not a usable smoothness result.	W10,W16,W23;outputs/mobile-validation/baseline/report.json;outputs/mobile-validation/hidden-canvas/report.json
M13	P0	mobile	inconclusive	Keeping the full-size canvas at epsilon opacity warms presentation enough to remove the first reveal spike.	Canvas fully hidden before reveal	Full-size canvas rendered at opacity 0.001 before reveal	GPU mode, viewport, DPR, scene, revision	first reveal; cold settle; max cold rAF; max long task; reverse p95	Is reveal immediate without a cold-load or steady-scroll regression?	Candidate must remove reveal spike without worsening cold settle or warm cadence. RESULT: Epsilon opacity removed the 6.85 s first-reveal spike, but cold settle worsened from 2.46 s to 4.78 s, max cold rAF reached 1.83 s, max long task 1.70 s, and a pose fix co-landed. No single-factor causal claim.	W24,W10;outputs/mobile-validation/warm-visible/report.json;outputs/mobile-validation/warm-visible/report.json
M14	P1	mobile	inconclusive	Batching repeated rigid parts can reduce visible draw submission cost while preserving exact mesh geometry and articulation.	70 visible draw calls, 198412 triangles	Instance only repeated geometry+material groups; update per-part matrices from the same rig state	GPU mode, DPR, MSAA, geometry, materials, pose trace	calls; triangles; CPU update; visible frame intervals; continuity	Is the robot pixel-identical at story beats and motion-identical through explode/jump?	Draw calls fall materially, geometry/pose checks pass, and visible cadence improves without cold regression. RESULT: Candidate reduced renderer calls from 70 to 35 while keeping 198412 submitted triangles, but batching and standard-material changes co-landed and the SwiftShader/concurrent-load environment changed. Warm visible p95 generally fell yet remained 200-316.7 ms; no causal cadence pass or independent max-deviation image-parity audit.	W10,W16,W26;outputs/mobile-validation/baseline/report.json;outputs/mobile-validation/batched-standard/report.json
M15	P2	cross-domain	untested	A single mesh-UV baked head-shell base-color tile can close the most visible hero-to-live pigment gap without changing geometry or regressing the cold path.	Current plain live head material	Bake only material color for the head shell to one 512-square sRGB texture on mesh-space UVs; retain current geometry, MR scalars, camera and lights	exact source mesh/hash, calibrated camera, pose samples, lights, exposure, DPR 1.5, draw batching	encoded bytes; decoded dimensions; texture count; calls/triangles; cold ready; first visible frame; UV seam pixels; registration at rest and head yaw/pitch	Does the printed head artwork stay attached and materially reduce the handoff quality drop at normal phone size?	Pass only if registration holds through motion, calibrated A/B is preferred, draw calls do not rise, decoded cost stays at or below 1 MiB for the proof tile, and cold/first-visible timing has no material regression.	W27,W28,W29,W30,W31,W11,W12
B01	P0	blender	tested-pass	True-metal hardware plus controlled roughness separates mechanism materials.	V8 mixed metallic/flat roughness	Metallic 1 hardware with micro/macro roughness	mesh hash, camera, pose, lights, view transform	preview render time; crop values	Do hardware edges form coherent metallic highlights distinct from paint?	Independent review found improved joint edge readability and material separation.	B01;work/calibration/quality-white-refined0001.png
