id	domain	concept	source_type	source_url	evidence	testable_application	local_validation
W01	mobile	scroll timeline	standard	https://www.w3.org/TR/scroll-animations-1/	Scroll progress timelines are distinct from time-driven triggers and may be sampled asynchronously without running script for each scroll update.	A/B CSS scroll timelines for DOM-only copy/theme transforms while retaining JS for the 3D rig.	untested
W02	mobile	animation scheduling	standard	https://www.w3.org/TR/animation-timing/	requestAnimationFrame schedules one animation resampling callback; subsequent frames require another request.	Use one frame authority to sample progress and derive all visible 3D state.	observed-in-code
W03	mobile	refresh behavior	reference	https://developer.mozilla.org/en-US/docs/Web/API/Window/requestAnimationFrame	rAF generally follows display refresh and is paused in hidden contexts; 120 and 144 Hz displays are common.	Measure idle rAF interval distribution and label the actual environment before applying an 8.33 ms gate.	untested
W04	mobile	frame pipeline	standard	https://www.w3.org/TR/frame-timing/	Input, tasks, rAF, style/layout, and rendering share a per-refresh event-loop budget.	Capture frame intervals and root-cause traces for the same repeatable scroll.	untested
W05	mobile	long animation frames	standard	https://www.w3.org/TR/long-animation-frames/	LoAF exposes frames at least 50 ms and attributes script, render, style, and layout timing.	Add PerformanceObserver LoAF telemetry with long-task fallback; use it for cause, not the 120 Hz threshold.	untested
W06	mobile	interaction latency	vendor documentation	https://web.dev/articles/optimize-inp	Presentation delay extends from event callback completion until the next paint; INP measures responsiveness across interactions.	Keep nonvisual work outside active input/scroll and record event-to-next-paint separately from frame cadence.	untested
W07	mobile	main-thread yielding	vendor documentation	https://developer.chrome.com/blog/use-scheduler-yield	scheduler.yield can split long tasks and allow pending high-priority work before continuation.	Use only for chunkable post-load work such as noncritical preparation; do not yield inside per-frame pose math.	untested
W08	mobile	spatial jitter	peer-reviewed paper	https://research.google/pubs/modeling-and-reducing-spatial-jitter-caused-by-asynchronous-input-and-output-rates/	Mismatched input and display frequencies can create visible jitter even when individual components work correctly.	Measure pose delta conditional on progress delta and keep one sampled progress value per frame.	untested
W09	mobile	variable timing	peer-reviewed paper	https://arxiv.org/abs/2306.01691	Frequent 4–12 ms frame-time variations affect perceived smoothness across 30–240 Hz conditions.	Track interval variance and miss streaks, not only mean FPS.	untested
W10	mobile	WebGL stalls	reference	https://developer.mozilla.org/en-US/docs/Web/API/WebGL_API/WebGL_best_practices	Synchronous queries, compile checks, uploads, and high backing-store cost can stall or increase mobile bandwidth pressure.	Avoid per-frame GL queries; capture renderer statistics once per phase; A/B DPR and MSAA.	untested
W11	mobile	GPU texture delivery	standard	https://registry.khronos.org/KTX/specs/2.0/ktxspec.v2.html	KTX2 supports universal textures, supercompression, mip levels, and efficient GPU texture instantiation.	Inspect GLB textures first; if material textures dominate, A/B KTX2 transfer, transcode, VRAM, and scroll cadence.	untested
W12	mobile	texture loader	engine documentation	https://threejs.org/docs/pages/KTX2Loader.html	Three KTX2Loader transcodes Basis Universal to a supported GPU format and requires renderer capability detection.	Include transcoder/WASM cold cost and worker count in any KTX2 experiment.	untested
W13	mobile	image decode	reference	https://developer.mozilla.org/en-US/docs/Web/API/HTMLImageElement	decode() resolves when an image is decoded and safe to present without pausing the next frame.	Decode the next poster before swapping it during scroll; measure cold decode and frame impact.	untested
W14	mobile	responsive images	framework documentation	https://nextjs.org/docs/app/api-reference/components/image	The sizes prop enables a width-based srcset; preload is intended for the actual above-fold LCP image.	Use correct sizes and one LCP preload; compare bytes and decode time at 430 px.	untested
W15	mobile	render-loop scaling	framework documentation	https://r3f.docs.pmnd.rs/advanced/scaling-performance	React Three Fiber supports demand rendering when scene state is static.	A/B always versus hybrid active/demand rendering; check resume hitch and idle power.	untested
W16	mobile	resource telemetry	engine documentation	https://threejs.org/docs/pages/Info.html	Renderer info exposes draw calls and memory-related geometry, texture, and program counts.	Log once after cold ready and at each story beat; avoid perturbing every frame.	untested
W17	mobile	capability hint	standard	https://www.w3.org/TR/device-memory/	Device memory is a rounded capability hint and explicitly supports conditional feature selection.	Choose a conservative initial tier; promote/demote using measured cadence with hysteresis.	untested
W18	mobile	pixel density	reference	https://developer.mozilla.org/en-US/docs/Web/API/Window/devicePixelRatio	DPR maps CSS pixels to physical backing pixels and often exceeds 2 on mobile.	Log CSS and backing dimensions; A/B 2.0, 1.5, and 1.25 caps.	untested
W19	cross-domain	objective plus subjective image quality	peer-reviewed paper	https://research.google/pubs/towards-the-development-of-the-ieee-p1858-cpiq-standard-a-validation-study/	Objective image metrics correlated with perceived quality when validated against controlled subjective paired comparisons.	Use objective crops and timing to narrow candidates, then make the promotion decision with a stated paired visual question.	untested
W20	product	Microduck specifications	official product documentation	https://pollen-robotics.com/microduck/	The official tech-spec section lists 15 motors, 25 cm height, 800 g mass, camera plus LiDAR and two IMUs, seven trained moves, and a 50 Hz onboard policy loop.	Use only these verified values in the website specification row.	verified-source
